Suma Estrés,Suma Ansiedad,Suma Depresión,Genero,Edad,Orientacion,Raza,Educacion,Licenciatura,Ingles Nativo,Religion,Matrimonio,Zurdo,Zona vivienda,Familia,Voto,EXTRAVERSIÓN,AMABILIDAD,RESPONSABILIDAD,NEUROTICISMO,APERTURA EXP,country
14,3,30,Hombre,46,Heterosexual,Blanco,Máster/Doctorado,4,1,Protestante,3,Diestro,Suburbano,3,1,1.0,6.0,2.5,1.5,5.0,US
5,3,29,Hombre,57,Heterosexual,Blanco,Grado universitario,3,1,Católico,2,Diestro,Suburbano,12,1,5.5,4.0,4.0,3.0,5.0,US
3,0,0,Hombre,26,Heterosexual,Blanco,Máster/Doctorado,3,1,Ateo,1,Zurdo,Urbano,1,2,1.0,7.0,7.0,5.0,4.0,US
5,2,1,Mujer,41,Heterosexual,Negra,Instituto,7,1,Otros (cristianismo),2,Diestro,Urbano,7,1,2.0,5.5,7.0,6.0,4.5,US
3,3,10,Mujer,17,Heterosexual,Blanco,Instituto,0,2,Otros (cristianismo),1,Diestro,Rural,2,2,1.5,4.5,5.0,5.0,4.5,GB
1,3,2,Mujer,22,Heterosexual,Blanco,Grado universitario,0,2,Católico,1,Diestro,Rural,2,2,2.0,7.0,3.0,6.5,6.5,BR
22,1,25,Mujer,55,Heterosexual,Blanco,Máster/Doctorado,0,1,Otros (cristianismo),2,Diestro,Urbano,1,1,1.5,2.0,7.0,3.0,3.5,US
23,2,11,Mujer,27,Bisexual,Blanco,Instituto,0,1,Católico,1,Zurdo,Suburbano,1,1,6.5,4.0,3.5,4.5,6.5,US
12,10,19,Hombre,19,Bisexual,Asiática,Instituto,0,2,Sijista,1,Diestro,Urbano,2,1,1.0,5.0,3.5,3.0,4.5,AR
29,10,23,Mujer,28,Heterosexual,Asiática,Instituto,0,1,Otros (cristianismo),1,Diestro,Suburbano,6,2,2.5,5.0,7.0,1.0,3.5,US
0,3,1,Mujer,19,Otros,Nativo Americano,Instituto,0,2,Otros,1,Diestro,Urbano,1,2,4.0,4.0,4.0,4.0,4.0,US
13,6,31,Mujer,23,Heterosexual,Asiática,Grado universitario,0,1,Católico,1,Diestro,Suburbano,1,1,6.0,6.0,5.5,6.5,5.0,CA
13,7,39,Hombre,18,Heterosexual,Blanco,Instituto,0,1,Mormon,1,Diestro,Rural,4,1,2.5,2.0,1.5,2.5,2.5,US
28,20,36,Otros,16,Homosexual,Blanco,Instituto,0,2,Musulmán,1,Diestro,Urbano,1,2,1.0,2.0,1.0,3.0,7.0,TR
20,31,40,Hombre,16,Bisexual,Árabe,Hasta el instituto,0,1,Agnostico,1,Ambidiestro,Suburbano,2,2,1.0,4.0,5.5,3.0,6.0,US
16,9,22,Mujer,22,Heterosexual,Blanco,Instituto,0,2,Católico,1,Zurdo,Urbano,2,1,4.5,4.5,2.0,2.0,6.5,IT
20,14,10,Mujer,36,Heterosexual,Blanco,Instituto,0,2,Otros (cristianismo),2,Diestro,Rural,2,1,2.0,4.0,2.5,2.0,2.5,MK
21,15,19,Hombre,18,Bisexual,Árabe,Instituto,0,1,Agnostico,1,Diestro,Suburbano,2,1,1.0,6.5,3.0,5.0,2.5,US
14,7,7,Mujer,25,Heterosexual,Blanco,Grado universitario,7,2,Agnostico,1,Diestro,Urbano,1,2,6.0,4.5,3.0,1.5,5.5,PT
22,10,34,Mujer,34,Heterosexual,Blanco,Grado universitario,6,2,Otros (cristianismo),1,Diestro,Urbano,0,2,3.0,5.5,6.0,3.5,6.0,US
27,13,10,Mujer,30,Heterosexual,Blanco,Máster/Doctorado,0,2,Otros (cristianismo),1,Diestro,Urbano,1,1,6.5,6.5,4.5,2.0,6.5,GR
20,19,32,Hombre,28,Heterosexual,Blanco,Instituto,4,1,Otros (cristianismo),3,Diestro,Rural,1,2,2.5,2.5,1.0,1.5,4.0,US
39,36,36,Mujer,15,Asexual,Blanco,Instituto,0,1,Católico,1,Diestro,Urbano,5,2,4.5,1.0,6.5,2.0,5.0,US
10,11,37,Hombre,27,Heterosexual,Blanco,Instituto,0,2,Ateo,1,Diestro,Suburbano,2,1,1.0,5.5,7.0,6.5,3.5,BA
17,17,41,Hombre,16,Homosexual,Asiática,Instituto,0,1,Ateo,1,Zurdo,Suburbano,1,2,1.0,3.5,4.5,2.5,5.0,US
24,23,32,Hombre,16,Heterosexual,Blanco,Hasta el instituto,0,1,Ateo,1,Diestro,Urbano,2,2,3.5,5.0,3.5,3.0,6.5,US
11,2,0,Mujer,36,Heterosexual,Blanco,Máster/Doctorado,7,1,Agnostico,1,Zurdo,Rural,2,2,5.5,4.5,6.0,3.5,7.0,US
27,22,24,Mujer,19,Heterosexual,Blanco,Instituto,0,1,Ateo,1,Diestro,Urbano,2,1,3.0,5.0,2.0,3.0,6.0,GB
17,1,12,Mujer,22,Heterosexual,Blanco,Grado universitario,0,1,Católico,1,Zurdo,Rural,2,1,4.5,5.5,6.0,4.5,6.5,US
30,9,28,Mujer,40,Heterosexual,Blanco,Grado universitario,6,1,Otros,2,Diestro,Urbano,2,2,2.0,2.0,4.5,1.5,4.0,US
13,8,27,Otros,18,Bisexual,Blanco,Instituto,2,1,Ateo,1,Diestro,Suburbano,3,2,3.0,5.0,4.0,2.5,4.5,US
21,15,36,Hombre,18,Heterosexual,Blanco,Hasta el instituto,0,1,Ateo,1,Diestro,Suburbano,3,2,4.0,1.5,4.0,2.5,4.0,US
5,2,5,Mujer,36,Heterosexual,Blanco,Instituto,0,1,Otros,3,Diestro,Urbano,2,2,4.5,6.0,4.5,6.0,4.0,US
19,9,7,Mujer,14,Otros,Blanco,Grado universitario,0,2,Agnostico,1,Diestro,Suburbano,2,2,4.0,4.5,3.5,4.5,4.0,RU
27,10,25,Mujer,16,Heterosexual,Blanco,Instituto,0,1,Católico,1,Diestro,Suburbano,4,2,4.5,4.5,4.0,2.0,3.5,US
4,2,4,Mujer,25,Heterosexual,Blanco,Grado universitario,0,1,Agnostico,1,Diestro,Urbano,2,2,4.5,5.0,5.0,4.0,5.5,GB
3,12,33,Hombre,20,Heterosexual,Blanco,Grado universitario,0,1,Ateo,1,Diestro,Suburbano,4,1,3.0,6.5,3.0,6.5,5.0,US
21,3,27,Hombre,18,Heterosexual,Blanco,Otros,0,2,Agnostico,1,Diestro,Urbano,3,2,5.0,2.5,4.0,2.5,4.0,IT
26,28,31,Mujer,15,Bisexual,Asiática,Hasta el instituto,0,2,Hinduista,1,Diestro,Urbano,1,2,4.5,4.0,4.0,1.5,5.5,IN
2,1,7,Hombre,43,Heterosexual,Asiática,Grado universitario,0,1,Sijista,1,Zurdo,Suburbano,3,1,3.0,6.0,6.5,6.0,4.5,US
30,29,41,Mujer,21,Heterosexual,Asiática,Instituto,7,1,Agnostico,1,Diestro,Suburbano,3,2,3.5,5.0,2.5,1.5,3.5,US
26,25,42,Mujer,14,Homosexual,Blanco,Hasta el instituto,0,1,Otros (cristianismo),1,Diestro,Rural,1,2,1.0,4.0,4.0,5.5,4.0,US
16,16,19,Hombre,21,Heterosexual,Negra,Instituto,6,1,Protestante,1,Diestro,Urbano,4,2,2.0,4.0,4.5,2.0,4.0,HU
